Gender,Age,Under30,SeniorCitizen,Married,NumberofDependents,Latitude,Longitude,Population,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore
Male,80,No,Yes,Yes,0,33.867593,-118.080637,16398,2,60,,Yes,22.95,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.35,6339.45,41.23,0,1377.0,7675.22,4
Female,74,No,Yes,No,0,33.848733,-117.788357,36301,0,4,,Yes,48.35,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1
Female,40,No,No,Yes,1,37.252057,-119.95783,972,1,6,Offer E,Yes,6.48,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,119.3,0.0,0,38.88,158.18,3
Male,72,No,Yes,Yes,0,32.961064,-117.134917,47224,1,33,,Yes,27.78,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3
Male,34,No,No,No,2,34.008293,-118.346766,30852,0,9,Offer E,Yes,27.64,No,Cable,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.1,484.05,0.0,0,248.76,732.81,4
Male,36,No,No,No,3,35.809921,-119.127437,2956,0,71,,Yes,4.89,Yes,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.35,1654.6,0.0,0,347.19,2001.79,4
Male,79,No,Yes,Yes,0,34.213049,-118.317651,25882,1,30,Offer C,Yes,48.02,Yes,Fiber Optic,24,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.5,2917.65,0.0,0,1440.6,4358.25,5
Male,54,No,No,No,0,39.170376,-120.838404,407,0,44,Offer B,Yes,49.57,Yes,Cable,21,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,85.25,3704.15,0.0,100,2181.08,5985.23,5
Male,32,No,No,No,0,39.225634,-121.156163,1601,0,1,,Yes,10.38,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.45,101.45,0.0,0,10.38,111.83,1
Female,22,Yes,No,Yes,3,34.536232,-118.082935,67232,9,18,,Yes,43.69,Yes,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,471.35,0.0,0,786.42,1257.77,3
Female,58,No,No,Yes,0,35.710244,-118.881679,88,1,42,,Yes,10.73,Yes,Fiber Optic,22,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.3,3588.4,0.0,0,450.66,4039.06,3
Female,23,Yes,No,Yes,2,36.635661,-120.288644,1130,7,36,,Yes,40.54,Yes,Cable,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,92.9,3379.25,0.0,0,1459.44,4838.69,3
Male,24,Yes,No,Yes,3,41.163637,-123.704841,3041,9,72,Offer A,No,0.0,No,DSL,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,65.25,4478.85,0.0,80,0.0,4558.85,4
Male,29,Yes,No,No,0,37.3511,-122.037311,50070,0,21,Offer D,No,0.0,No,DSL,26,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,43.55,1011.5,0.0,0,0.0,1011.5,4
Female,42,No,No,No,0,37.424342,-122.165641,13386,0,69,Offer A,Yes,18.47,Yes,DSL,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0.0,0,1274.43,7171.83,3
Female,56,No,No,No,3,37.497915,-122.267361,28098,0,7,Offer E,Yes,49.66,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.05,96.8,0.0,0,347.62,444.42,5
Female,21,Yes,No,Yes,0,38.581354,-122.296283,9423,1,33,,Yes,35.31,Yes,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.5,740.3,35.05,0,1165.23,1870.48,3
Female,20,Yes,No,Yes,2,33.902045,-118.008961,47568,1,7,,Yes,25.64,No,DSL,71,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,350.35,0.0,0,179.48,529.83,3
Female,66,No,Yes,Yes,0,32.85723,-117.209774,34902,2,55,Offer B,Yes,42.82,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.8,1
Female,27,Yes,No,No,0,34.078991,-118.263804,73686,0,4,Offer E,Yes,6.5,Yes,Fiber Optic,73,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.15,319.85,0.0,0,26.0,345.85,3
Female,65,No,Yes,No,0,37.766556,-121.976784,44078,0,4,Offer E,Yes,49.5,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2
Female,75,No,Yes,Yes,1,38.148862,-121.737696,5246,8,57,,Yes,28.25,No,Fiber Optic,15,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,95.3,5567.45,0.0,0,1610.25,7177.7,3
Male,20,Yes,No,No,0,33.833699,-118.314387,40705,0,20,Offer D,Yes,31.02,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,415.4,0.0,0,620.4,1035.8,3
Male,34,No,No,Yes,0,37.279689,-121.954567,44976,9,63,,Yes,34.02,Yes,DSL,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,80.0,5040.2,0.0,0,2143.26,7183.46,3
Female,25,Yes,No,No,0,34.153338,-118.262974,14493,0,1,,Yes,47.36,No,Cable,41,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.3,45.3,0.0,0,47.36,92.66,5
Female,39,No,No,No,0,40.586588,-122.903677,960,0,16,Offer D,Yes,18.99,Yes,Fiber Optic,30,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.6,1555.65,0.0,0,303.84,1859.49,1
Female,67,No,Yes,Yes,0,34.506627,-118.699048,22177,1,50,Offer B,Yes,31.56,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.05,4888.7,0.0,50,1578.0,6516.7,3
Female,26,Yes,No,No,2,33.044541,-116.833922,33104,0,48,Offer B,No,0.0,No,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.55,2108.35,0.0,0,0.0,2108.35,3
Female,57,No,No,No,0,36.623632,-119.741322,21010,0,65,,Yes,41.74,No,Cable,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.85,5459.2,0.0,0,2713.1,8172.3,4
Male,24,Yes,No,No,0,37.329725,-120.306399,4150,0,9,Offer E,No,0.0,No,DSL,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,24.6,190.1,0.0,0,0.0,190.1,5
Male,29,Yes,No,Yes,0,33.844983,-117.952151,60553,2,71,Offer A,Yes,40.63,Yes,DSL,69,Yes,Yes,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,65.15,4681.75,4.7,0,2884.73,7561.78,3
Female,31,No,No,Yes,0,37.803883,-122.208417,28900,3,71,Offer A,No,0.0,No,Cable,8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,58.65,4145.25,0.0,0,0.0,4145.25,4
Male,61,No,No,No,0,34.983808,-117.239306,1933,0,1,,Yes,4.53,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.1,75.1,0.0,0,4.53,79.63,3
Female,62,No,No,Yes,0,40.03194,-122.176023,3357,6,10,Offer D,Yes,37.08,No,Cable,7,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,67.8,653.15,0.0,0,370.8,1023.95,5
Female,65,No,Yes,Yes,3,34.049172,-118.115022,26933,7,65,Offer B,Yes,19.58,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.45,7047.5,0.0,0,1272.7,8320.2,4
Female,62,No,No,No,0,39.913777,-122.289984,13840,0,5,,Yes,41.93,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.65,92.05,0.0,0,209.65,301.7,3
Female,44,No,No,Yes,2,34.108455,-118.362081,49839,10,16,Offer D,Yes,7.14,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,301.55,0.0,0,114.24,415.79,3
Male,24,Yes,No,Yes,0,34.19829,-118.602203,23519,5,43,Offer B,Yes,48.1,Yes,DSL,51,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,71.9,3173.35,0.0,0,2068.3,5241.65,3
Male,35,No,No,No,0,34.39583,-117.734568,413,0,30,Offer C,Yes,47.06,No,Cable,24,Yes,No,Yes,No,No,No,No,Yes,Two Year,Yes,Mailed Check,55.65,1653.85,0.0,0,1411.8,3065.65,3
Female,62,No,No,No,1,34.142747,-117.300864,24644,0,61,Offer B,Yes,32.05,Yes,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.0,1498.35,0.0,0,1955.05,3453.4,4
Female,60,No,No,No,0,33.012751,-117.200617,7615,0,17,,Yes,22.61,No,Fiber Optic,19,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,1329.15,0.0,0,384.37,1713.52,5
Female,61,No,No,No,0,38.349195,-121.902943,171,0,4,,Yes,27.57,No,Fiber Optic,27,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.0,303.15,0.0,0,110.28,413.43,3
Female,49,No,No,No,0,37.555473,-122.080312,33883,0,1,,Yes,43.06,No,Fiber Optic,9,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,83.4,83.4,0.0,0,43.06,126.46,3
Female,23,Yes,No,No,0,37.885629,-122.46858,13065,0,6,,Yes,34.42,Yes,Fiber Optic,42,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,89.75,552.65,0.0,60,206.52,819.17,5
Male,39,No,No,Yes,0,41.505916,-120.152505,857,10,67,,No,0.0,No,DSL,6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,50.95,3521.7,0.0,0,0.0,3521.7,3
Female,51,No,No,No,0,36.220761,-120.980777,14477,0,64,,Yes,44.31,Yes,Fiber Optic,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.1,7334.05,0.0,0,2835.84,10169.89,3
Female,21,Yes,No,Yes,0,34.145695,-117.95982,27414,7,11,,Yes,1.92,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.6,233.9,0.0,0,21.12,255.02,3
Male,56,No,No,Yes,3,38.733908,-120.453416,8577,2,38,,Yes,13.67,Yes,Cable,30,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.95,2862.55,0.0,0,519.46,3382.01,5
Female,70,No,Yes,No,0,33.787298,-117.320676,36817,0,1,Offer E,Yes,48.95,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.2,74.2,0.0,0,48.95,123.15,2
Male,46,No,No,No,0,37.902968,-119.667544,3680,0,3,Offer E,Yes,13.72,No,Fiber Optic,26,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0.0,0,41.16,276.21,5
Female,28,Yes,No,Yes,2,40.171312,-121.120605,86,3,41,,Yes,20.41,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.1,4454.25,0.0,0,836.81,5291.06,5
Male,44,No,No,Yes,0,33.787165,-117.931889,50641,7,44,,Yes,32.22,Yes,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,24.85,1013.6,0.0,0,1417.68,2431.28,3
Male,55,No,No,Yes,3,34.065108,-118.082791,61623,4,40,,Yes,3.52,Yes,Fiber Optic,56,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.2,3292.3,0.0,0,140.8,3433.1,3
Female,33,No,No,No,0,39.672813,-120.456699,322,0,36,,Yes,44.87,No,Cable,8,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,76.35,2606.35,0.0,0,1615.32,4221.67,5
Male,59,No,No,No,0,34.278967,-116.773825,9899,0,1,,Yes,14.65,No,Cable,15,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,55.05,55.05,0.0,0,14.65,69.7,4
Female,24,Yes,No,No,0,37.422961,-120.765493,10159,0,1,Offer E,Yes,26.12,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.5,20.5,0.0,0,26.12,46.62,2
Male,43,No,No,Yes,0,39.408634,-123.045516,1884,1,72,Offer A,Yes,38.3,Yes,Fiber Optic,3,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,97.95,7114.25,0.0,0,2757.6,9871.85,4
Male,64,No,No,No,0,34.457005,-118.573726,17846,0,17,,Yes,33.68,No,DSL,14,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.5,934.15,0.0,0,572.56,1506.71,4
Female,32,No,No,No,0,32.782501,-117.01611,24005,0,72,Offer A,Yes,2.25,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,3
Male,27,Yes,No,Yes,1,41.813521,-121.492666,2595,4,10,,Yes,4.16,Yes,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,24.4,253.9,0.0,0,41.6,295.5,5
Male,60,No,No,No,0,35.449881,-118.841442,53481,0,3,Offer E,Yes,49.63,No,Fiber Optic,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,253.8,0.0,0,148.89,402.69,5
Female,34,No,No,Yes,0,40.022184,-121.062384,73,1,1,,Yes,11.08,No,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.8,69.8,0.0,0,11.08,80.88,3
Female,50,No,No,Yes,0,34.04597,-117.011825,41575,2,72,Offer A,Yes,38.44,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108.5,8003.8,0.0,0,2767.68,10771.48,4
Female,68,No,Yes,Yes,0,34.044271,-118.185237,55668,4,55,,Yes,22.74,Yes,Fiber Optic,21,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,90.45,5044.8,12.48,0,1250.7,6283.02,4
Male,27,Yes,No,Yes,1,36.217864,-120.080117,6918,1,68,,Yes,29.67,Yes,Fiber Optic,85,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,85.5,5696.6,0.0,0,2017.56,7714.16,3
Male,58,No,No,Yes,3,34.983808,-117.239306,1933,6,30,,Yes,40.0,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,21.25,711.9,0.0,0,1200.0,1911.9,3
Female,39,No,No,Yes,2,38.838088,-122.73203,1591,3,6,,Yes,49.45,No,DSL,10,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.8,297.35,0.0,0,296.7,594.05,4
Female,69,No,Yes,No,0,37.421299,-120.599587,11463,0,1,,Yes,22.56,Yes,Cable,2,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.55,50.55,0.0,0,22.56,73.11,1
Male,73,No,Yes,No,0,38.636102,-120.522149,659,0,9,,Yes,10.04,Yes,Fiber Optic,13,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.85,790.15,0.0,0,90.36,880.51,1
Female,51,No,No,Yes,0,38.691607,-121.602284,264,1,72,Offer A,No,0.0,No,Cable,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.2,3937.45,0.0,0,0.0,3937.45,3
Male,29,Yes,No,No,0,33.728273,-118.085304,174,0,17,,Yes,38.78,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,106.65,1672.1,0.0,0,659.26,2331.36,3
